Date,Time,Count,Description,Location,Code
18/06/2023,01:56:05,,System Info: Display Hardware: $6170732 / Firmware: 2.2.15 Serial number: 40155668,Display,
18/06/2023,01:56:05,,Front Hardware: $3724020 / Firmware: 1.172 Count: 1.10000 Software: LHD3.51.00 Serial number: 23676075,Front,
18/06/2023,01:56:05,,Front Hardware: $3724020 / Firmware: 1.172 Count: 1.10000 Software: LHD3.53.00 Serial number: 23716125,Front,
18/06/2023,01:56:05,,Middle Hardware: $3724020 / Firmware: 1.172 Count: 1.10000 Software: LHD3.53.00 Serial number: 23676075,Middle,
18/06/2023,01:56:05,,Rear Hardware: $3724020 / Firmware: 1.172 Count: 1.10000 Software: LHD3.53.00 Serial number: 23168021,Rear,
18/06/2023,01:56:05,,Installation package: hd_03.04.01.bin,,
18/06/2023,01:56:05,,Total fuel used: 307.95 litres Average DEF consumption: 0.10 l,,
18/06/2023,01:56:05,,Odometer: 847 km,,
18/06/2025,01:13:32,1,Converter lock-up solenoid short to ground,Middle,188
18/06/2025,01:13:36,1,Speed sensor signals missing (XDO1/6, XDO3/7),Middle,189
18/06/2025,01:13:37,1,Converter lock-up solenoid short to ground,Middle,188
18/06/2025,01:13:38,2,RH5 brake light and blinker short to ground (MM1/22),Middle,188
18/06/2025,01:13:40,1,Speed sensor signals missing (XDO1/6, XDO3/7),Middle,189
18/06/2025,01:15:38,1,Converter lock-up solenoid short to ground,Middle,188
18/06/2025,01:15:39,2,RH5 brake light and blinker short to ground (MM1/22),Middle,188
18/06/2025,01:15:40,1,Speed sensor signals missing (XDO1/6, XDO3/7),Middle,189
18/06/2025,01:15:41,1,Converter lock-up solenoid short to ground,Middle,188
18/06/2025,01:15:42,2,RH5 brake light and blinker short to ground (MM1/22),Middle,188
17/08/2025,23:41:35,1,Rear - RHS brake light and blinker short to ground (XM1/2),Middle,18
17/08/2025,23:41:35,1,Speed sensor signals missing (X03/16, X3/17),Middle,19
17/08/2025,23:41:35,1,Converter lock-up-slensed short to ground (X3/17),Middle,19
17/08/2025,23:39:36,1,Speed sensor signals missing (X03/16, X3/17),Middle,19
17/08/2025,23:19:13,1,Converter lock-up solenoid short to ground (XM1Z2),Mode,188
17/08/2025,23:19:13,1,Rear - RHS brake light and blinker short to ground (XM1Z2),Mode,188
17/08/2025,23:19:36,1,Speed sensor signals missing (XD0/16, XD0/17),Mode,189
17/08/2025,23:19:36,1,Converter lock-up solenoid short to ground (XM1Z2),Mode,188
17/08/2025,23:19:36,1,Rear - RHS brake light and blinker short to ground (XM1Z2),Mode,188
17/08/2025,23:05:47,1,Speed sensor signals missing (XD3/16, XD3/17),Middle,198
17/08/2025,23:05:47,1,Converter lock-up solenoid short to ground,Middle,198
17/08/2025,23:05:47,1,Oil Pressure below range (SPN:100, PM:18),Engine,198
17/08/2025,22:51:30,1,Converter lock-up-atemoid short to ground,Middle,188
17/08/2025,22:51:30,1,Speed sensor signals missing (XD3/16, XD3/17),Middle,189
17/08/2025,22:51:30,2,Rear - RHS brake light and blinker short to ground (MM1/2),Middle,188
17/08/2025,22:51:30,2,Speed sensor signals missing (XD3/16, XD3/17),Middle,189
17/08/2025,22:51:30,2,Converter lock-up-atemidd short to ground,Middle,188
17/08/2025,22:28:14,1,Converter lock-up selenoid short to ground,Middle,188
17/08/2025,22:27:56,1,Converter RHS brake light and bliker short to ground (MM1/2),Middle,188
17/08/2025,22:27:54,3,Speed sensor signals missing (XDO/16 "X0"7T),Middle,190
17/08/2025,22:27:57,2,Converter RHS brake light and blinker short to ground (MM1/2),Middle,188
17/08/2025,22:28:00,2,Converter RHS brake light and blinker short to ground (MM1/2),Middle,188
17/08/2025,21:54:58,1,Converter back-up-stemoid short to ground (XM1/22),Mode,188
17/08/2025,21:42:08,1,Converter lock-up selenoid short to ground (XM1/22),Middle,188
17/08/2025,21:42:08,2,R.HS brake light and blinker short to ground (XM1/22),Middle,188
17/08/2025,21:42:08,1,R.HS brake light and blinker short to ground (XM1/22),Middle,188
17/08/2025,21:41:39,1,Converter lock-up selenoid short to ground (XM1/22),Middle,188
17/08/2025,21:41:39,2,R.HS brake light and blinker short to ground (XM1/22),Middle,188
17/08/2025,21:40:47,1,Speed sensor signals missing (XD3/16, XD3/17),Middle,189
17/08/2025,21:40:47,2,R.HS brake light and blinker short to ground (XM1/22),Middle,188
